info,walk,syn,N,mu
1.0,1.0,1.0,600,0.2
1.0,1.0,0.9999999999999997,600,0.2
0.9999999999999998,0.9999999999999998,1.0,600,0.2
1.0,0.9823234198185883,1.0,600,0.2
1.0,1.0,1.0,600,0.2
1.0000000000000002,1.0000000000000002,1.0000000000000002,600,0.2
1.0,1.0,1.0000000000000002,600,0.2
1.0,1.0,1.0,600,0.2
1.0,1.0,1.0,600,0.2
1.0,0.9920884744045011,1.0,600,0.2
1.0000000000000002,1.0000000000000002,1.0000000000000002,600,0.25
1.0,0.9915798551751767,1.0,600,0.25
0.9999999999999998,0.9999999999999998,0.9999999999999998,600,0.25
1.0000000000000002,1.0000000000000002,1.0,600,0.25
0.9999999999999998,0.9926086345874685,1.0000000000000002,600,0.25
1.0,0.9909960792849054,1.0,600,0.25
1.0,1.0,1.0,600,0.25
1.0,0.9920472240265131,0.9987234635507021,600,0.25
1.0,0.9974764842248263,1.0,600,0.25
1.0,0.9973467140037474,0.9987726953727276,600,0.25
0.9943223094345619,0.9866505242782441,0.9947176965590022,600,0.30000000000000004
1.0,1.0,0.9999999999999998,600,0.30000000000000004
0.9941877249455731,0.9847271664883559,0.9975206759070951,600,0.30000000000000004
1.0,1.0,1.0,600,0.30000000000000004
1.0,0.963971041673174,1.0,600,0.30000000000000004
0.9915833891125021,0.9971687199328014,0.993086915125115,600,0.30000000000000004
1.0,0.9850586874383116,1.0000000000000002,600,0.30000000000000004
0.9817823589261578,0.99174741707951,0.9922018021704637,600,0.30000000000000004
0.9999999999999998,0.993067704422428,1.0,600,0.30000000000000004
1.0,0.9899148445818775,1.0,600,0.30000000000000004
0.9972490671637708,0.9713616937651243,0.9956688600950144,600,0.35000000000000003
0.9707002841105256,0.9372243291777839,0.9669354126448112,600,0.35000000000000003
0.9973697391444861,0.9568107357615879,0.9973697391444859,600,0.35000000000000003
0.9832869206164018,0.9626551587871889,0.9815506476886585,600,0.35000000000000003
0.9940157289609246,0.988516004185894,0.9970370626617285,600,0.35000000000000003
0.9915908429038099,0.9672248718368849,0.987724532320537,600,0.35000000000000003
0.9889468896710771,0.9287118276469523,0.9776520141204063,600,0.35000000000000003
0.9811934479252208,0.9527703796660624,0.9687381198201794,600,0.35000000000000003
0.9914105691498549,0.9916119559028653,0.9956049339785732,600,0.35000000000000003
0.9908440785491058,0.9562791291205402,0.9910819719523024,600,0.35000000000000003
0.0,0.9443260711815542,0.9508993326507088,600,0.4
0.9792657798792935,0.9251391456005315,0.9495356645276748,600,0.4
0.9538587121097021,0.9174940341703415,0.9567937494293524,600,0.4
0.9489201682899276,0.9438111659778842,0.9604232552522168,600,0.4
0.9814184175164854,0.9160854184365127,0.9712021605245847,600,0.4
0.0,0.9319658535021793,0.9404147868343096,600,0.4
0.0,0.9135949060731865,0.963219622566454,600,0.4
0.9703498196254692,0.8976611303526874,0.9516973365932158,600,0.4
0.0,0.9328512180261608,0.9516896621566554,600,0.4
0.9463563436710647,0.9441314885882888,0.9489080009754951,600,0.4
0.0,0.721080010280881,0.799515725267835,600,0.45000000000000007
0.0,0.7603506100202917,0.8395298852702837,600,0.45000000000000007
0.0,0.8129280761979726,0.8720111215101543,600,0.45000000000000007
0.0,0.7805789981175183,0.8340518678257065,600,0.45000000000000007
0.0,0.8591791331731745,0.8798311171948969,600,0.45000000000000007
0.0,0.8324904684059884,0.8777306739110327,600,0.45000000000000007
0.0,0.7663890368347426,0.872081464765954,600,0.45000000000000007
0.0,0.7819202216181261,0.7873008891486306,600,0.45000000000000007
0.0,0.7148930485247428,0.746481157058526,600,0.45000000000000007
0.0,0.8079578537126291,0.7939725641016979,600,0.45000000000000007
0.0,0.6610888229223528,0.6708412958337707,600,0.5
0.0,0.6052263367487968,0.586130216388324,600,0.5
0.0,0.5736083932306518,0.5271627778318605,600,0.5
0.0,0.6870691127240992,0.7329000313912212,600,0.5
0.0,0.6187009383987255,0.6383499288876855,600,0.5
0.0,0.6016983518838727,0.5347844876679637,600,0.5
0.0,0.6016391069930952,0.5331341533275672,600,0.5
0.0,0.5723899631773435,0.5734081520454836,600,0.5
0.0,0.5804138220215229,0.6594596355587441,600,0.5
0.0,0.6718376791408266,0.6438605779044317,600,0.5
0.0,0.5098547079472562,0.4792749151023488,600,0.55
0.0,0.40179593082365733,0.352446270905863,600,0.55
0.0,0.4176634102128154,0.400309990136307,600,0.55
0.0,0.4537247350193655,0.40196071464469574,600,0.55
0.0,0.39359933624118487,0.2718573342643404,600,0.55
0.0,0.3825230100787748,0.336192802482594,600,0.55
0.0,0.367396736739462,0.27230088537663366,600,0.55
0.0,0.498817097967492,0.4419765425952639,600,0.55
0.0,0.48194633248953894,0.4509579472440981,600,0.55
0.0,0.43516368472950834,0.3814173977537515,600,0.55
0.0,0.17026087640039161,0.12314992781731231,600,0.6000000000000001
0.0,0.22039204507400756,0.1581323948720185,600,0.6000000000000001
0.0,0.2229562934947881,0.15906849638480725,600,0.6000000000000001
0.0,0.2617141905332252,0.20831900007492266,600,0.6000000000000001
0.0,0.31632271068921547,0.2099055392145947,600,0.6000000000000001
0.0,0.1767496586959765,0.14017514138950568,600,0.6000000000000001
0.0,0.2648440184373265,0.1462659219678063,600,0.6000000000000001
0.0,0.23439818088295586,0.16719835885393827,600,0.6000000000000001
0.0,0.2799514810953215,0.24324305516126554,600,0.6000000000000001
0.0,0.25899324147160346,0.18687878107473543,600,0.6000000000000001
0.0,0.13080526643862,0.1297693781015707,600,0.6500000000000001
0.0,0.13268727366894847,0.10875821865183065,600,0.6500000000000001
